,CR083Q01S,CR083Q02S,CR083Q03S,CR083Q04S,DR442Q02C,DR442Q03C,DR442Q05C,DR442Q06C,CR442Q07S,CR245Q01S,CR245Q02S,CR101Q01S,CR101Q02S,CR101Q03S,CR101Q04S,CR101Q05S
1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
2,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1
5,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1
6,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1
7,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0
8,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
9,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
12,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1
13,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
14,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0
17,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
18,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0
19,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1
20,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0
21,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
22,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0
23,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
24,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
25,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
27,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1
28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1
30,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
31,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
32,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1
33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
35,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
36,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
